model_name,model_version,decile,n,avg_pd,observed_default_rate
logreg,20260201_203456_27e581b,1,100,0.08996347827786236,0.0
logreg,20260201_203456_27e581b,2,100,0.16395113521688906,0.05
logreg,20260201_203456_27e581b,3,100,0.23562216444681783,0.12
logreg,20260201_203456_27e581b,4,100,0.30824591297182224,0.12
logreg,20260201_203456_27e581b,5,100,0.3895436039874316,0.19
logreg,20260201_203456_27e581b,6,100,0.4815438671544051,0.32
logreg,20260201_203456_27e581b,7,100,0.5647736775827645,0.37
logreg,20260201_203456_27e581b,8,100,0.6480705569895205,0.41
logreg,20260201_203456_27e581b,9,100,0.7388477817661138,0.64
logreg,20260201_203456_27e581b,10,100,0.8505672889714743,0.78
